MATRICULA	NOMBRE_ESTUDIANTE	Email
202114289	FLORES RUIZ ANDREA MARCELA	andreflor@espol.edu.ec
202110576	GOMEZ ORTEGA LUIS MIGUEL	lmgomort@espol.edu.ec
202113765	HERNANDEZ LOPEZ MARIA SOLEDAD	marsoleh@espol.edu.ec
202115034	JIMENEZ NAVARRO CARLOS ANDRES	canajima@espol.edu.ec
202116709	LOPEZ SANCHEZ LAURA GABRIELA	lalopsan@espol.edu.ec
202111222	MARTINEZ GARCIA JUAN PABLO	juapabmar@espol.edu.ec
202105946	ANDRADE VELASCO ANGELLO BERNIE	angbeand@espol.edu.ec
202113452	BARRIENTOS LOPEZ LUCIA MABEL	lubarrlo@espol.edu.ec
202107829	CASTRO RODRIGUEZ ANDRES FELIPE	andrecasro@espol.edu.ec
202116237	DIAZ GOMEZ CARLA ISABEL	cadiagom@espol.edu.ec
202109514	ESPINOZA RAMIREZ LUIS ENRIQUE	luespiram@espol.edu.ec
202112879	FLORES LOPEZ MARIA ELENA	maelflor@espol.edu.ec
202108765	GARCIA MARTINEZ PABLO ANDRES	pagarmar@espol.edu.ec
202111005	HERNANDEZ GUTIERREZ ANA SOFIA	anasohern@espol.edu.ec
202115678	IBARRA CRUZ DIEGO FERNANDO	diegoibcr@espol.edu.ec
202110932	JIMENEZ VARGAS JULIA MARIELA	jumijiva@espol.edu.ec
202114521	LOPEZ TORRES FELIPE ANDRES	felopetor@espol.edu.ec
202107346	MALDONADO PEREZ ANDREA PAOLA	andremald@espol.edu.ec
202116890	NAVARRO GOMEZ CARLOS EDUARDO	canavago@espol.edu.ec
202109765	OCHOA RUIZ MARTINA ISABEL	mariochoa@espol.edu.ec
202113879	PEREZ RAMOS JUAN PABLO	juanparez@espol.edu.ec
202105267	QUEVEDO LOPEZ MARIA ALEJANDRA	maquevel@espol.edu.ec
202111743	RAMIREZ FLORES LUIS ANTONIO	luanramfl@espol.edu.ec
202108490	SANCHEZ GARCIA SOFIA VALERIA	sovasaga@espol.edu.ec
202116512	TORRES HERNANDEZ ANDRES DAVID	antorher@espol.edu.ec
202112378	URIBE SOTO CAROLINA ANDREA	caurisot@espol.edu.ec
202114903	VALENCIA CRUZ JUAN SEBASTIAN	juavalcru@espol.edu.ec
202110655	ZAMBRANO LOPEZ FERNANDO JOSE	ferzamlo@espol.edu.ec
202113211	ACOSTA RIVAS PAOLA ALEJANDRA	paacoriv@espol.edu.ec
202109045	BENAVIDES GOMEZ ANDREA NICOLE	andbenag@espol.edu.ec
202111934	CAMPOS VEGA LUIS FERNANDO	lucavega@espol.edu.ec
202107687	DELGADO MENDOZA JORGE ANDRES	jordelmen@espol.edu.ec
202115322	ESPARZA GUZMAN MARIA JOSE	majoespgu@espol.edu.ec
