MATRICULA,NOMBRE_ESTUDIANTE,Email
202118765,AGUILAR GONZALEZ MARIA ELENA,maagong@espol.edu.ec
202115290,BENAVIDES RAMIREZ JUAN PABLO,jubramir@espol.edu.ec
202117832,CASTRO SANTOS ANDREA ISABEL,andrescas@espol.edu.ec
202113654,DELGADO RIVAS LUIS FERNANDO,lufedelr@espol.edu.ec
202119012,ESPINOZA LOPEZ CARLA MARIA,caeslope@espol.edu.ec
202115671,FLORES GARCIA LUCIA SOFIA,lusoflog@espol.edu.ec
202118243,GOMEZ MENDOZA ANDRES DAVID,andagome@espol.edu.ec
202116509,HERNANDEZ MARTINEZ MARIA PAULA,mahepama@espol.edu.ec
202119876,IBARRA TORRES DIEGO ALEJANDRO,didaibto@espol.edu.ec
202117345,JIMENEZ PEREZ ANA VALERIA,anavajim@espol.edu.ec
202114983,LOPEZ SANCHEZ FELIPE ANDRES,felaopsa@espol.edu.ec
202115627,MALDONADO RAMIREZ JULIA MARIA,jumarama@espol.edu.ec
202116774,MARTINEZ GONZALEZ JORGE LUIS,jomargon@espol.edu.ec
202112556,NAVARRO RIVAS MARIA ALEJANDRA,marianar@espol.edu.ec
202119033,OCHOA CASTRO CARLOS ANDRES,caocoand@espol.edu.ec
202113432,PEREZ FLORES LUIS MIGUEL,luperefl@espol.edu.ec
202114390,QUEVEDO LOPEZ SOFIA ANDREA,soqulope@espol.edu.ec
202117654,RAMIREZ VEGA JUAN PABLO,juparave@espol.edu.ec
202118987,RODRIGUEZ ORTEGA MARIA JOSE,majoRodr@espol.edu.ec
202116123,SANCHEZ CRUZ LUCAS MANUEL,lusacruz@espol.edu.ec
202115788,TORRES GARCIA ANA CAROLINA,ancatorr@espol.edu.ec
202112345,URIBE SOTO ANDRES GABRIEL,anduriso@espol.edu.ec
202113756,VALENCIA JIMENEZ CAROLINA ALEJ,cavaJiAl@espol.edu.ec
202117612,ZAMBRANO HERNANDEZ FERNANDO,fezherna@espol.edu.ec
202114901,ACOSTA GOMEZ MARTINA ISABEL,magocos@espol.edu.ec
202115243,CAMPOS RAMIREZ LUIS ENRIQUE,lucaRama@espol.edu.ec
202116510,DELGADO SANTOS JUAN CARLOS,jucasand@espol.edu.ec
202118901,ESPARZA CRUZ SOFIA VALENTINA,soesacru@espol.edu.ec
202117832,FLORES VEGA ANDREA PAOLA,anfloveg@espol.edu.ec
202113499,GARCIA RAMIREZ FELIPE ANTONIO,feRagaRa@espol.edu.ec
202118765,HERNANDEZ GONZALEZ LUIS FERNAN,luhegong@espol.edu.ec
